Gen:	<L_2>
1490	66.7092
1491	66.6454
1492	66.6778
1493	66.9953
1494	66.8273
1495	66.5691
1496	66.6185
1497	66.5657
1498	66.5564
1499	66.4909
1500	66.525
