Gen:	L_2
1101	70.5548
1102	70.5548
1103	70.5548
1104	70.5548
1105	70.5548
1106	70.5548
1107	70.5548
1108	70.5548
1109	70.5548
1110	70.5548
1111	70.5548
1112	70.5548
1113	70.5548
1114	70.5548
1115	70.5548
1116	70.5548
1117	70.5548
1118	70.5548
1119	70.5548
1120	70.5548
1121	70.5548
1122	70.5548
1123	70.5548
1124	70.5548
1125	70.5548
1126	70.5548
1127	70.5548
1128	70.5548
1129	70.5548
1130	70.5548
1131	70.5548
1132	69.9096
1133	69.9096
1134	69.9096
1135	69.9096
1136	69.9096
1137	69.9096
1138	69.9096
1139	69.9096
1140	69.9096
1141	69.9096
1142	69.9096
1143	69.9096
1144	69.9096
1145	69.9096
1146	69.9096
1147	69.9096
1148	69.9096
1149	69.9096
1150	69.9096
1151	69.9096
1152	69.9096
1153	69.9096
1154	69.9096
1155	69.9096
1156	69.9096
1157	69.9096
1158	69.9096
1159	69.9096
1160	69.9096
1161	69.9096
1162	69.9096
1163	69.9096
1164	69.9096
1165	69.9096
1166	69.9096
1167	69.9096
1168	69.9096
1169	69.9096
1170	69.9096
1171	69.9096
1172	69.9096
1173	69.9096
1174	69.9096
1175	69.9096
1176	69.9096
1177	69.9096
1178	69.9096
1179	69.9096
1180	69.9096
1181	69.9096
1182	69.9096
1183	69.9096
1184	69.9096
1185	69.9096
1186	69.9096
1187	69.9096
1188	69.9096
1189	69.9096
1190	69.9096
1191	69.9096
1192	69.9096
1193	69.9096
1194	69.9096
1195	69.9096
1196	69.9096
1197	69.9096
1198	69.9096
1199	69.9096
1200	69.9096
1201	69.9096
1202	69.9096
1203	69.9096
1204	69.9096
1205	69.9096
1206	69.9096
1207	69.9096
1208	69.9096
1209	69.9096
1210	69.9096
1211	69.9096
1212	69.9096
1213	69.9096
1214	69.9096
1215	69.9096
1216	69.9096
1217	69.9096
1218	69.9096
1219	69.9096
1220	69.9096
1221	69.9096
1222	69.9096
1223	69.9096
1224	69.9096
1225	69.9096
1226	69.9096
1227	69.9096
1228	69.9096
1229	69.9096
1230	69.9096
1231	69.9096
1232	69.9096
1233	69.9096
1234	69.9096
1235	69.9096
1236	69.9096
1237	69.9096
1238	69.9096
1239	69.9096
1240	69.9096
1241	69.9096
1242	69.9096
1243	69.9096
1244	69.9096
1245	69.9096
1246	69.9096
1247	69.9096
1248	69.9096
1249	69.9096
1250	69.9096
1251	69.9096
1252	69.9096
1253	69.9096
1254	69.9096
1255	69.9096
1256	69.9096
1257	69.9096
1258	69.9096
1259	69.9096
1260	69.9096
1261	69.9096
1262	69.9096
1263	69.9096
1264	69.9096
1265	69.9096
1266	69.9096
1267	69.9096
1268	69.9096
1269	69.9096
1270	69.9096
1271	69.9096
1272	69.9096
1273	69.9096
1274	69.9096
1275	69.9096
1276	69.9096
1277	69.9096
1278	69.9096
1279	69.9096
1280	69.9096
1281	69.9096
1282	69.9096
1283	69.9096
1284	69.9096
1285	69.9096
1286	69.9096
1287	69.9096
1288	69.9096
1289	69.9096
1290	69.9096
1291	69.9096
1292	69.9096
1293	69.9096
1294	69.9096
1295	69.9096
1296	69.9096
1297	69.9096
1298	69.9096
1299	69.9096
1300	69.9096
1301	69.9096
1302	69.9096
1303	69.9096
1304	69.9096
1305	69.9096
1306	69.9096
1307	69.9096
1308	69.9096
1309	69.9096
1310	69.9096
1311	69.9096
1312	69.9096
1313	69.9096
1314	69.9096
1315	69.9096
1316	69.9096
1317	69.9096
1318	69.9096
1319	69.9096
1320	69.9096
1321	69.9096
1322	69.9096
1323	69.9096
1324	69.9096
1325	69.9096
1326	69.9096
1327	69.9096
1328	69.9096
1329	69.9096
1330	69.9096
1331	69.9096
1332	69.9096
1333	69.9096
1334	69.9096
1335	69.9096
1336	69.9096
1337	69.9096
1338	69.9096
1339	69.9096
1340	69.9096
1341	69.9096
1342	69.9096
1343	69.9096
1344	69.9096
1345	69.9096
1346	69.9096
1347	69.9096
1348	69.9096
1349	69.9096
1350	69.9096
1351	69.9096
1352	69.9096
1353	69.9096
1354	69.9096
1355	69.9096
1356	69.9096
1357	69.9096
1358	69.9096
1359	69.9096
1360	69.9096
1361	69.9096
1362	69.9096
1363	69.9096
1364	69.9096
1365	69.9096
1366	69.9096
1367	69.9096
1368	69.9096
1369	69.9096
1370	69.9096
1371	69.9096
1372	69.9096
1373	69.9096
1374	69.9096
1375	69.9096
1376	69.9096
1377	69.9096
1378	69.9096
1379	69.9096
1380	69.9096
1381	69.9096
1382	69.9096
1383	69.9096
1384	69.9096
1385	69.9096
1386	69.9096
1387	69.9096
1388	69.9096
1389	69.9096
1390	69.9096
1391	69.9096
1392	69.9096
1393	69.9096
1394	69.9096
1395	69.9096
1396	69.9096
1397	69.9096
1398	69.9096
1399	69.9096
1400	69.9096
1401	69.9096
1402	69.9096
1403	69.9096
1404	69.9096
1405	69.9096
1406	69.9096
1407	69.9096
