Gen:	<L_2>
1249	70.4356
1250	70.4229
1251	70.4233
1252	70.713
1253	70.9691
1254	70.6196
1255	70.7046
1256	70.5238
1257	70.526
1258	70.5716
1259	70.3784
1260	70.4124
1261	70.6109
1262	70.5667
1263	70.8327
1264	70.5989
1265	70.9246
1266	70.6392
1267	70.6489
1268	70.7725
1269	70.3663
1270	70.7994
1271	70.6779
1272	70.6875
1273	70.7773
1274	70.6691
1275	70.4823
1276	70.4358
1277	70.5725
1278	70.4385
1279	70.7489
1280	70.5471
1281	70.7975
1282	70.6566
1283	70.832
1284	70.8859
1285	70.7102
1286	70.6084
1287	70.3936
1288	70.43
1289	70.5242
1290	70.5256
1291	70.7847
1292	70.657
1293	70.4628
1294	70.6613
1295	70.5901
1296	70.7835
1297	70.9211
1298	70.7446
1299	70.5878
1300	70.6399
1301	70.6049
1302	70.6848
1303	70.4786
1304	70.3952
1305	70.5661
1306	70.3918
1307	70.5768
1308	70.5685
1309	70.4343
1310	70.7453
1311	70.7209
1312	70.5818
1313	70.7063
1314	70.781
1315	70.7888
1316	70.6807
1317	70.7674
1318	70.7302
1319	70.3671
1320	70.5146
1321	70.5034
1322	70.7633
1323	70.907
1324	70.84
1325	70.9434
1326	70.7176
1327	70.6952
1328	70.9386
1329	70.6882
1330	70.8617
1331	70.403
1332	70.5046
1333	70.5601
1334	70.7374
1335	70.8581
1336	70.741
1337	70.6032
1338	70.5074
1339	70.4672
1340	70.4779
1341	70.5041
1342	70.5261
1343	70.4321
1344	70.4342
1345	70.5513
1346	70.751
1347	70.7061
1348	70.7818
1349	70.5097
1350	70.5264
1351	70.6208
1352	70.8209
1353	70.3943
1354	70.4572
1355	70.7692
1356	70.6467
1357	70.6215
1358	70.5374
1359	70.2934
1360	70.4614
1361	70.52
1362	70.4985
1363	70.296
1364	70.5608
1365	70.7014
1366	70.5261
1367	70.6228
1368	70.5054
1369	70.7738
1370	70.5558
1371	70.7815
1372	70.7582
1373	70.4911
1374	70.8317
1375	70.5705
1376	70.438
1377	70.413
1378	70.4214
1379	70.6732
1380	70.8967
1381	70.634
1382	70.5444
1383	70.7324
1384	70.518
1385	70.5823
1386	70.7228
1387	70.4796
1388	70.5878
1389	70.8713
1390	70.5994
1391	70.7882
1392	70.6523
1393	70.797
1394	70.5197
1395	70.6793
1396	70.6094
1397	70.5749
1398	70.6865
1399	70.6244
1400	70.984
1401	70.6353
1402	70.7221
1403	70.9074
1404	70.4843
1405	70.6191
1406	70.5621
1407	70.4707
1408	70.5555
1409	70.5934
1410	70.6878
1411	70.5718
1412	70.4487
1413	70.2876
1414	70.5654
1415	70.5628
1416	70.756
1417	70.6638
1418	70.6222
1419	70.4699
1420	70.256
1421	70.4597
1422	70.5782
1423	70.5506
1424	70.5876
1425	70.7336
1426	70.626
1427	70.5606
1428	70.4642
1429	70.4379
1430	70.8178
1431	70.7477
1432	70.5295
1433	70.7466
1434	70.4589
1435	70.6253
1436	70.4903
1437	70.6713
1438	70.6849
1439	70.554
1440	70.8653
1441	71.0422
1442	70.9489
1443	70.6205
1444	70.5226
1445	70.4605
1446	70.7089
1447	70.5008
1448	70.5048
1449	70.5031
1450	70.6031
1451	70.5768
1452	70.6541
1453	70.7432
1454	70.7662
1455	70.7378
1456	70.6648
1457	70.4928
1458	70.3085
1459	70.4609
1460	70.5785
1461	70.6687
1462	70.6682
1463	70.9166
1464	70.9964
1465	70.389
1466	70.5434
1467	70.6883
1468	70.7643
1469	70.6081
1470	70.6583
1471	70.4181
1472	70.6898
1473	70.9209
1474	70.5348
1475	70.6723
1476	70.6985
1477	70.4076
1478	70.1994
1479	70.4049
1480	70.3946
1481	70.5363
1482	70.7477
1483	70.626
1484	70.6013
1485	70.5506
1486	70.4769
1487	70.6655
1488	70.7949
1489	70.8221
1490	70.4337
1491	70.5036
1492	70.8192
1493	70.4738
1494	70.5068
1495	70.7334
1496	70.7714
1497	70.9037
1498	70.7828
1499	71.0179
1500	70.7668
1501	70.502
1502	70.6863
1503	70.5184
1504	70.4218
1505	70.3828
1506	70.6302
1507	70.2537
1508	70.5748
1509	70.7007
1510	70.7265
1511	70.5456
1512	70.4845
1513	70.5894
1514	70.8017
1515	70.525
1516	70.5143
1517	70.6344
1518	70.4357
1519	70.6169
1520	70.3344
1521	70.5837
1522	70.6623
1523	70.7175
1524	70.4144
1525	70.5078
1526	70.3953
1527	70.4546
1528	70.5114
1529	70.2175
1530	70.4115
1531	70.5188
1532	70.5982
1533	70.5288
1534	70.6458
1535	70.4497
1536	70.8128
1537	70.6024
1538	70.8027
1539	70.6851
1540	70.8016
1541	70.7183
1542	70.533
1543	70.8183
1544	70.6193
1545	70.8985
1546	70.9029
1547	70.7213
1548	70.4613
1549	70.6281
1550	70.4089
1551	70.7486
1552	70.5135
1553	70.7296
1554	70.7042
1555	70.6415
1556	70.5325
1557	70.6133
1558	70.3462
1559	70.3584
1560	70.5026
1561	70.4684
1562	70.6915
1563	70.4704
1564	70.5739
1565	70.5258
1566	70.5902
1567	70.8636
1568	70.8258
1569	70.6163
1570	70.7151
1571	70.7359
1572	70.7609
1573	70.4224
1574	70.7411
1575	70.5092
1576	70.5678
1577	70.4533
1578	70.513
1579	70.5551
1580	70.6126
1581	70.8893
1582	70.5474
1583	70.4968
1584	70.6353
1585	70.6801
1586	70.7975
1587	70.7971
1588	70.6024
1589	70.7117
1590	70.7731
1591	70.4101
1592	70.5936
1593	70.5604
1594	70.7141
1595	70.8446
1596	70.5928
1597	70.3821
1598	70.6647
1599	70.664
1600	70.7233
1601	70.5959
1602	70.646
1603	70.4132
1604	70.2733
1605	70.2779
1606	70.2496
1607	70.3522
1608	70.2641
1609	70.5002
1610	70.7049
1611	70.7404
1612	70.3631
1613	70.65
1614	70.5902
1615	70.7701
1616	70.4628
1617	70.6436
1618	70.265
1619	70.219
1620	70.2001
1621	70.3545
1622	70.3707
1623	70.558
1624	70.5059
1625	70.6099
1626	70.7102
1627	70.6551
1628	70.5903
1629	70.723
1630	70.7591
1631	70.6258
1632	71.0981
1633	70.8437
1634	70.4837
1635	70.3583
1636	70.418
1637	70.6448
1638	70.6789
1639	70.8307
1640	70.737
1641	70.736
1642	70.515
1643	71.0364
1644	70.9892
1645	70.4541
1646	70.7797
1647	70.6809
1648	70.4963
1649	70.7275
